i,j
1,2
13,2
19,2
21,2
22,2
23,2
26,2
29,2
32,2
36,2
1,3
21,3
22,3
23,3
24,3
26,3
28,3
32,3
33,3
1,4
13,4
19,4
21,4
22,4
34,4
1,5
13,5
21,5
22,5
26,5
27,5
28,5
29,5
33,5
34,5
1,6
13,6
19,6
21,6
22,6
26,6
1,7
13,7
21,7
22,7
26,7
31,7
1,8
13,8
21,8
22,8
23,8
26,8
31,8
38,8
1,9
13,9
19,9
22,9
24,9
1,10
13,10
29,10
1,11
13,11
19,11
1,12
42,12
13,14
19,14
21,14
22,14
35,14
13,15
19,15
24,15
30,15
35,15
37,15
41,15
13,16
19,16
22,16
13,17
19,17
30,17
13,18
19,18
21,18
23,18
24,18
26,18
19,20
24,20
25,20
39,40
