i,j
1,2
23,2
27,2
1,3
23,3
25,3
26,3
27,3
28,3
30,3
1,4
23,4
25,4
26,4
27,4
1,5
23,5
25,5
26,5
27,5
28,5
1,6
23,6
25,6
26,6
27,6
28,6
29,6
30,6
1,7
23,7
25,7
26,7
27,7
28,7
29,7
30,7
1,8
23,8
25,8
26,8
27,8
28,8
29,8
30,8
1,9
23,9
25,9
27,9
1,10
23,10
25,10
26,10
27,10
28,10
29,10
30,10
1,11
23,11
25,11
26,11
27,11
28,11
29,11
30,11
1,12
23,12
25,12
28,12
29,12
1,13
23,13
25,13
26,13
28,13
1,14
27,14
1,15
25,15
27,15
30,15
1,16
23,16
26,16
28,16
1,17
23,17
25,17
26,17
27,17
28,17
1,18
23,18
25,18
26,18
27,18
1,19
25,19
26,19
28,19
1,20
23,20
1,21
25,21
27,21
1,22
23,24
31,32
