i,j
1,2
3,2
7,2
11,2
12,2
13,2
14,2
1,4
3,4
5,4
7,4
8,4
9,4
1,6
3,6
5,6
7,6
8,6
9,6
1,10
3,10
7,10
11,10
12,10
13,10
14,10
7,15
9,15
11,15
12,15
13,15
1,16
9,16
11,16
12,16
13,16
18,16
1,17
9,17
11,17
12,17
13,17
18,17
9,19
9,20
11,20
12,20
13,20
1,21
3,21
5,21
9,21
11,21
12,21
13,21
14,21
18,21
1,22
3,22
7,22
9,22
11,22
12,22
13,22
18,22
9,23
12,23
13,23
1,24
3,25
5,26
7,26
8,26
12,26
13,26
14,26
1,27
3,27
7,27
8,27
9,27
12,27
13,27
14,27
5,28
9,28
12,28
13,28
1,29
3,29
5,29
8,29
9,29
11,29
12,29
13,29
14,29
