i,j
3,1
7,1
29,1
1,2
5,2
12,2
13,2
14,2
1,4
3,4
5,4
7,4
15,4
16,4
17,4
18,4
19,4
20,4
29,4
3,5
7,5
29,5
1,6
5,6
12,6
13,6
14,6
3,8
7,8
21,8
22,8
23,8
24,8
27,8
28,8
29,8
1,9
5,9
12,9
13,9
14,9
1,10
5,10
12,10
13,10
14,10
1,11
3,11
5,11
7,11
15,11
16,11
17,11
18,11
19,11
20,11
29,11
3,12
7,12
29,12
3,13
7,13
29,13
3,14
7,14
29,14
3,15
7,15
25,15
26,15
27,15
28,15
29,15
3,16
7,16
25,16
26,16
27,16
28,16
29,16
3,17
7,17
27,17
28,17
29,17
3,18
7,18
27,18
28,18
29,18
3,19
7,19
27,19
28,19
29,19
3,20
7,20
27,20
28,20
29,20
27,21
28,21
3,23
7,23
27,23
28,23
29,23
3,24
7,24
27,24
28,24
29,24
3,25
7,25
29,25
3,26
7,26
29,26
3,27
7,27
29,27
3,28
7,28
29,28
