i,j
1,2
27,2
28,2
29,2
34,2
36,2
45,2
55,2
58,2
59,2
65,2
77,2
1,3
17,3
19,3
25,3
29,3
32,3
40,3
45,3
49,3
51,3
1,4
17,4
19,4
24,4
25,4
27,4
36,4
37,4
43,4
53,4
1,5
11,5
30,5
31,5
43,5
46,5
48,5
60,5
1,6
17,6
24,6
25,6
28,6
42,6
64,6
1,7
17,7
19,7
23,7
25,7
26,7
29,7
1,8
37,8
40,8
57,8
63,8
68,8
78,8
1,9
11,9
30,9
50,9
1,10
24,10
62,10
11,12
26,12
27,12
35,12
38,12
41,12
52,12
54,12
69,12
70,12
73,12
11,13
17,13
20,13
23,13
31,13
33,13
39,13
44,13
47,13
11,14
28,14
30,14
35,14
38,14
41,14
56,14
75,14
76,14
11,15
20,15
34,15
42,15
71,15
11,16
32,16
17,18
19,18
23,18
24,18
61,18
74,18
20,21
23,21
26,21
31,21
33,21
39,21
44,21
20,22
66,67
72,67
