i,j
1,2
10,2
15,2
16,2
18,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
32,2
35,2
39,2
43,2
47,2
48,2
52,2
1,3
10,3
14,3
15,3
16,3
18,3
20,3
21,3
22,3
26,3
30,3
34,3
35,3
38,3
44,3
45,3
1,4
10,4
14,4
15,4
21,4
23,4
24,4
30,4
31,4
36,4
1,5
10,5
14,5
15,5
20,5
21,5
22,5
23,5
24,5
25,5
28,5
31,5
34,5
35,5
37,5
45,5
56,5
1,6
10,6
15,6
19,6
20,6
21,6
22,6
24,6
26,6
34,6
35,6
36,6
37,6
38,6
44,6
45,6
57,6
1,7
10,7
19,7
20,7
21,7
23,7
24,7
25,7
26,7
36,7
42,7
44,7
53,7
54,7
1,8
10,8
24,8
26,8
51,8
55,8
1,9
20,9
23,9
31,9
36,9
10,11
15,11
16,11
18,11
19,11
22,11
33,11
40,11
41,11
50,11
58,11
10,12
14,12
15,12
16,12
22,12
23,12
29,12
31,12
46,12
49,12
10,13
16,17
19,17
26,27
38,27
