i,j
1,2
28,2
32,2
35,2
36,2
37,2
41,2
43,2
51,2
55,2
58,2
59,2
64,2
66,2
68,2
1,3
21,3
38,3
62,3
1,4
21,4
27,4
28,4
36,4
40,4
44,4
60,4
61,4
1,5
21,5
28,5
1,6
27,6
33,6
1,7
21,7
27,7
46,7
48,7
1,8
21,8
27,8
45,8
1,9
21,9
28,9
30,9
33,9
1,10
27,10
33,10
56,10
1,11
67,11
1,12
21,12
1,13
21,13
30,13
33,13
1,14
1,15
28,15
30,15
45,15
1,16
30,16
44,16
1,17
28,17
1,18
38,18
40,18
1,19
27,19
37,19
1,20
21,20
21,22
30,22
51,22
54,22
65,22
21,23
27,23
49,23
50,23
21,24
40,24
50,24
21,25
27,25
21,26
52,26
1,29
28,29
30,29
35,29
42,29
57,29
30,31
33,31
43,31
53,31
33,34
63,34
38,39
46,47
