i,j
1,2
8,2
12,2
14,2
22,2
24,2
28,2
29,2
30,2
34,2
1,3
10,3
12,3
14,3
16,3
17,3
21,3
23,3
26,3
27,3
28,3
37,3
39,3
47,3
48,3
1,4
8,4
12,4
14,4
18,4
21,4
26,4
27,4
28,4
38,4
41,4
1,5
10,5
12,5
14,5
16,5
17,5
21,5
25,5
26,5
27,5
37,5
38,5
45,5
1,6
12,6
14,6
17,6
18,6
22,6
23,6
24,6
25,6
29,6
35,6
36,6
46,6
1,7
10,7
12,7
14,7
17,7
18,7
19,7
22,7
24,7
27,7
29,7
8,9
10,9
12,9
14,9
16,9
17,9
21,9
23,9
26,9
27,9
31,9
33,9
39,9
40,9
43,9
44,9
10,11
12,13
22,13
14,15
16,15
29,15
32,15
42,15
19,20
28,20
