i,j
1,2
10,2
15,2
24,2
31,2
46,2
47,2
1,3
10,3
28,3
32,3
42,3
49,3
51,3
52,3
54,3
55,3
58,3
61,3
62,3
69,3
70,3
1,4
10,4
15,4
32,4
34,4
63,4
1,5
1,6
10,6
24,6
28,6
35,6
50,6
1,7
15,7
33,7
59,7
1,8
34,8
1,9
32,9
43,9
45,9
66,9
10,11
15,11
32,11
44,11
60,11
10,12
15,12
20,12
10,13
28,13
32,13
35,13
37,13
39,13
10,14
15,14
68,14
15,16
23,16
15,17
37,17
44,17
48,17
67,17
15,18
31,18
15,19
20,21
28,21
36,21
65,21
20,22
24,22
31,22
33,22
38,22
53,22
71,22
24,25
47,25
24,26
24,27
28,29
31,29
64,29
28,30
39,40
48,40
39,41
56,57
