i,j
1,2
16,2
24,2
3,4
3,5
6,7
8,7
6,9
10,11
12,11
10,13
10,14
12,14
6,15
16,17
1,18
6,18
12,18
19,18
6,20
6,22
16,22
21,22
16,23
3,25
6,25
26,25
27,25
28,25
6,29
16,31
21,31
30,31
32,31
33,31
34,31
30,35
33,35
10,36
30,36
21,37
30,37
38,37
30,39
34,39
1,40
6,40
12,40
24,40
1,42
12,42
30,42
41,42
43,42
44,42
45,42
6,46
16,47
6,48
6,49
6,50
19,51
6,52
16,53
1,54
12,54
55,54
12,56
16,56
30,56
34,56
38,56
3,58
6,58
16,58
24,58
57,58
59,58
6,60
59,60
61,60
62,60
6,63
6,64
1,65
6,65
12,65
6,66
12,66
12,67
12,68
