id,S,L,pred,herb,mutu,para
4340,4,3,0,0,0,3
4341,4,3,0,0,0,3
4342,3,2,0,0,0,2
4343,5,4,0,0,0,4
4344,4,3,0,0,0,3
4345,9,8,0,0,0,8
4346,4,3,0,0,0,3
4347,6,4,0,0,0,4
4348,5,4,0,0,0,4
4349,8,7,0,0,0,7
4350,6,4,0,0,0,4
4351,5,3,0,0,0,3
4352,2,1,0,0,0,1
4353,9,6,0,0,0,6
4354,4,3,0,0,0,3
4355,9,9,0,0,0,9
4356,2,1,0,0,0,1
4357,11,11,0,0,0,11
4358,4,3,0,0,0,3
4359,16,20,0,0,0,20
4360,19,19,0,0,0,19
4361,4,3,0,0,0,3
4362,4,3,0,0,0,3
4363,12,13,0,0,0,13
4364,16,15,0,0,0,15
4365,11,8,0,0,0,8
4366,5,4,0,0,0,4
4367,10,8,0,0,0,8
4368,11,11,0,0,0,11
4369,8,7,0,0,0,7
4370,4,3,0,0,0,3
4371,9,7,0,0,0,7
4372,11,9,0,0,0,9
4373,5,4,0,0,0,4
4374,5,4,0,0,0,4
4375,4,3,0,0,0,3
4376,7,6,0,0,0,6
4377,4,3,0,0,0,3
4378,6,5,0,0,0,5
4379,19,16,0,0,0,16
4380,4,3,0,0,0,3
4381,11,11,0,0,0,11
4382,4,3,0,0,0,3
4383,3,2,0,0,0,2
4384,12,10,0,0,0,10
4385,9,6,0,0,0,6
4386,7,7,0,0,0,7
4387,4,3,0,0,0,3
4388,4,3,0,0,0,3
4389,12,19,0,0,0,19
4390,7,6,0,0,0,6
4391,6,4,0,0,0,4
4392,13,8,0,0,0,8
4393,14,15,0,0,0,15
4394,17,19,0,0,0,19
4395,10,7,0,0,0,7
4396,23,22,0,0,0,22
4397,13,16,0,0,0,16
4398,4,3,0,0,0,3
4399,18,27,0,0,0,27
4400,17,19,0,0,0,19
4401,21,26,0,0,0,26
4402,3,2,0,0,0,2
4403,11,13,0,0,0,13
4404,16,19,0,0,0,19
4405,6,5,0,0,0,5
4406,4,3,0,0,0,3
4407,12,7,0,0,0,7
4408,6,4,0,0,0,4
4409,3,2,0,0,0,2
4410,5,4,0,0,0,4
4411,9,6,0,0,0,6
4412,8,6,0,0,0,6
4413,6,4,0,0,0,4
4414,3,2,0,0,0,2
4415,5,4,0,0,0,4
4416,6,5,0,0,0,5
4417,4,3,0,0,0,3
4418,13,10,0,0,0,10
4419,6,5,0,0,0,5
4420,15,19,0,0,0,19
4421,25,32,0,0,0,32
4422,13,13,0,0,0,13
4423,34,42,0,0,0,42
4424,12,12,0,0,0,12
4425,22,30,0,0,0,30
4426,17,16,0,0,0,16
